ID,value
id_1,26.34452543617758
id_2,23.716287938110572
id_3,19.773125051385104
id_4,15.697589333477652
id_5,6.148870388176459
id_6,9.968186258184122
id_7,8.458517611264655
id_8,11.314600909526366
id_9,5.137323078601263
id_10,10.783860327314745
id_11,27.516820223297092
id_12,30.53479464514002
id_13,24.40565886752417
id_14,21.42262404202183
id_15,20.015074871812054
id_16,21.18474890862698
id_17,26.442646517802075
id_18,19.09498722826382
id_19,21.849369923263215
id_20,19.735492251535586
id_21,29.701328504289982
id_22,34.78758221758305
id_23,34.128370765958074
id_24,30.086870795789732
id_25,21.598435560705546
id_26,26.300196805912343
id_27,36.43275967215784
id_28,35.696898425494275
id_29,24.05284873686409
id_30,17.260472977342832
id_31,27.20788550197369
id_32,25.441824839802408
id_33,24.763204802046882
id_34,29.25681247337727
id_35,30.593906842633725
id_36,13.256742516723865
id_37,14.663934659523203
id_38,20.501727785127333
id_39,17.200726525824308
id_40,22.439355661944667
id_41,22.351785225661178
id_42,19.449106415961786
id_43,15.840040677215324
id_44,18.366510519735606
id_45,20.463662294308264
id_46,19.8045263169145
id_47,18.99537165013614
id_48,16.020269403940418
id_49,18.026460821406427
id_50,20.23364781307665
